Latitude (decimal degrees):	6.160
Longitude (decimal degrees):	-75.580
Elevation (m):	1618
Radiation database:	PVGIS-ERA5


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20231018:0530,0.0,0.0,0.0,0.0,12.62,0.69,0.0
20231018:0630,0.0,0.0,0.0,0.0,12.87,0.55,0.0
20231018:0730,0.0,0.0,0.0,0.0,11.7,0.76,0.0
20231018:0830,0.0,0.0,0.0,0.0,11.95,0.69,0.0
20231018:0930,0.0,0.0,0.0,0.0,11.45,0.76,0.0
20231018:1030,0.0,0.0,0.0,-5.17,11.62,0.9,0.0
20231018:1130,0.0,46.6,0.0,9.52,11.24,1.03,0.0
20231018:1230,208.6,97.1,0.0,24.11,14.0,1.03,0.0
20231018:1330,474.45,123.8,0.0,38.5,15.95,0.9,0.0
20231018:1430,663.05,122.6,0.0,52.45,18.41,0.83,0.0
20231018:1530,630.25,187.0,0.0,65.23,20.02,1.03,0.0
20231018:1630,788.15,155.0,0.0,73.74,21.15,1.1,0.0
20231018:1730,514.2,204.0,0.0,70.98,22.43,1.03,0.0
20231018:1830,398.1,283.6,0.0,59.9,22.37,0.76,0.0
20231018:1930,197.9,226.75,0.0,46.45,21.65,0.9,0.0
20231018:2030,86.9,174.05,0.0,32.26,20.27,0.9,0.0
20231018:2130,25.95,102.6,0.0,17.77,19.42,0.07,0.0
20231018:2230,0.0,15.3,0.0,3.13,17.94,0.55,0.0
20231018:2330,0.0,0.0,0.0,0.0,16.99,0.69,0.0
20231019:0030,0.0,0.0,0.0,0.0,16.48,0.9,0.0
20231019:0130,0.0,0.0,0.0,0.0,15.76,1.03,0.0
20231019:0230,0.0,0.0,0.0,0.0,15.08,0.97,0.0
20231019:0330,0.0,0.0,0.0,0.0,14.59,1.03,0.0
20231019:0430,0.0,0.0,0.0,0.0,14.11,1.03,0.0
20231019:0530,0.0,0.0,0.0,0.0,13.78,0.97,0.0
20231019:0630,0.0,0.0,0.0,0.0,13.78,0.9,0.0
20231019:0730,0.0,0.0,0.0,0.0,13.39,0.83,0.0
20231019:0830,0.0,0.0,0.0,0.0,13.1,0.9,0.0
20231019:0930,0.0,0.0,0.0,0.0,12.94,0.83,0.0
20231019:1030,0.0,0.0,0.0,-5.17,12.99,0.9,0.0
20231019:1130,0.0,51.85,0.0,9.51,13.1,0.9,0.0
20231019:1230,108.85,153.65,0.0,24.08,14.49,0.9,0.0
20231019:1330,181.45,239.35,0.0,38.43,16.21,0.55,0.0
20231019:1430,165.8,325.8,0.0,52.34,18.14,0.48,0.0
20231019:1530,231.15,398.5,0.0,65.03,19.24,0.76,0.0
20231019:1630,189.5,448.5,0.0,73.4,20.64,0.9,0.0
20231019:1730,200.0,411.1,0.0,70.66,21.32,0.9,0.0
20231019:1830,148.65,327.05,0.0,59.68,21.54,0.76,0.0
20231019:1930,161.55,210.8,0.0,46.29,19.6,1.24,0.0
20231019:2030,107.0,190.5,0.0,32.13,19.64,1.03,0.0
20231019:2130,13.0,103.15,0.0,17.67,19.23,0.69,0.0
20231019:2230,0.0,10.5,0.0,3.04,17.28,0.41,0.0
20231019:2330,0.0,0.0,0.0,0.0,16.43,0.21,0.0
20231020:0030,0.0,0.0,0.0,0.0,16.07,0.14,0.0
20231020:0130,0.0,0.0,0.0,0.0,15.76,0.07,0.0
20231020:0230,0.0,0.0,0.0,0.0,14.55,0.21,0.0
20231020:0330,0.0,0.0,0.0,0.0,13.94,0.28,0.0
20231020:0430,0.0,0.0,0.0,0.0,13.35,0.48,0.0
20231020:0530,0.0,0.0,0.0,0.0,13.14,0.48,0.0
20231020:0630,0.0,0.0,0.0,0.0,13.0,0.34,0.0
20231020:0730,0.0,0.0,0.0,0.0,12.72,0.48,0.0
20231020:0830,0.0,0.0,0.0,0.0,12.87,0.55,0.0
20231020:0930,0.0,0.0,0.0,0.0,12.48,0.62,0.0
20231020:1030,0.0,0.0,0.0,-5.16,12.68,0.69,0.0
20231020:1130,0.0,51.2,0.0,9.5,12.6,0.97,0.0
20231020:1230,53.5,144.75,0.0,24.04,14.0,1.03,0.0
20231020:1330,242.15,181.75,0.0,38.37,15.72,0.41,0.0
20231020:1430,340.0,180.8,0.0,52.23,17.62,0.28,0.0
20231020:1530,215.4,254.35,0.0,64.83,18.56,0.28,0.0
20231020:1630,138.1,337.6,0.0,73.06,18.61,0.28,0.0
20231020:1730,20.45,332.4,0.0,70.34,18.73,0.55,0.0
20231020:1830,173.6,223.2,0.0,59.46,18.01,0.69,0.0
20231020:1930,4.0,212.9,0.0,46.13,18.02,0.41,0.0
20231020:2030,7.05,133.95,0.0,32.01,21.0,0.55,0.0
20231020:2130,0.0,72.0,0.0,17.57,17.71,0.41,0.0
20231020:2230,0.0,10.25,0.0,2.96,16.08,0.76,0.0
20231020:2330,0.0,0.0,0.0,0.0,15.06,0.83,0.0
20231021:0030,0.0,0.0,0.0,0.0,14.53,0.62,0.0
20231021:0130,0.0,0.0,0.0,0.0,14.3,0.55,0.0
20231021:0230,0.0,0.0,0.0,0.0,14.25,0.48,0.0
20231021:0330,0.0,0.0,0.0,0.0,14.36,0.55,0.0
20231021:0430,0.0,0.0,0.0,0.0,14.11,0.34,0.0
20231021:0530,0.0,0.0,0.0,0.0,14.14,0.21,0.0
20231021:0630,0.0,0.0,0.0,0.0,14.01,0.21,0.0
20231021:0730,0.0,0.0,0.0,0.0,13.93,0.48,0.0
20231021:0830,0.0,0.0,0.0,0.0,13.72,0.34,0.0
20231021:0930,0.0,0.0,0.0,0.0,13.73,0.21,0.0
20231021:1030,0.0,0.0,0.0,-5.16,13.78,0.34,0.0
20231021:1130,0.0,33.95,0.0,9.48,13.75,0.62,0.0
20231021:1230,52.1,91.4,0.0,24.0,14.37,0.34,0.0
20231021:1330,15.35,121.85,0.0,38.3,14.84,0.28,0.0
20231021:1430,25.6,148.45,0.0,52.11,15.7,0.28,0.0
20231021:1530,37.55,262.3,0.0,64.62,16.9,0.28,0.0
20231021:1630,41.5,282.3,0.0,72.72,16.67,0.28,0.0
20231021:1730,134.2,325.25,0.0,70.02,17.53,0.28,0.0
20231021:1830,133.5,380.2,0.0,59.25,18.01,0.55,0.0
20231021:1930,222.0,271.3,0.0,45.97,18.5,0.69,0.0
20231021:2030,28.4,170.2,0.0,31.89,18.51,0.9,0.0
20231021:2130,3.65,62.85,0.0,17.47,16.7,0.28,0.0
20231021:2230,0.0,15.75,0.0,2.89,15.66,0.21,0.0
20231021:2330,0.0,0.0,0.0,0.0,14.86,0.07,0.0
20231022:0030,0.0,0.0,0.0,0.0,14.24,0.21,0.0
20231022:0130,0.0,0.0,0.0,0.0,13.79,0.34,0.0
20231022:0230,0.0,0.0,0.0,0.0,13.45,0.41,0.0
20231022:0330,0.0,0.0,0.0,0.0,13.11,0.55,0.0
20231022:0430,0.0,0.0,0.0,0.0,13.16,0.69,0.0
20231022:0530,0.0,0.0,0.0,0.0,13.24,0.48,0.0
20231022:0630,0.0,0.0,0.0,0.0,13.38,0.34,0.0
20231022:0730,0.0,0.0,0.0,0.0,12.92,0.28,0.0
20231022:0830,0.0,0.0,0.0,0.0,12.49,0.21,0.0
20231022:0930,0.0,0.0,0.0,0.0,12.39,0.21,0.0
20231022:1030,0.0,0.0,0.0,-5.16,12.17,0.28,0.0
20231022:1130,0.0,28.5,0.0,9.46,12.3,0.34,0.0
20231022:1230,56.8,88.9,0.0,23.96,13.39,0.34,0.0
20231022:1330,88.5,145.0,0.0,38.23,14.84,0.34,0.0
20231022:1430,236.65,247.25,0.0,51.99,16.15,0.28,0.0
20231022:1530,149.0,358.0,0.0,64.41,17.99,0.34,0.0
20231022:1630,307.8,375.45,0.0,72.38,18.38,0.34,0.0
20231022:1730,238.0,399.95,0.0,69.71,19.77,0.62,0.0
20231022:1830,80.55,343.65,0.0,59.03,19.94,0.97,0.0
20231022:1930,17.85,148.85,0.0,45.82,18.1,0.34,0.0
20231022:2030,4.5,147.85,0.0,31.77,16.75,0.48,0.0
20231022:2130,6.0,92.95,0.0,17.38,16.68,0.21,0.0
20231022:2230,0.0,16.6,0.0,2.81,15.91,0.07,0.0
20231022:2330,0.0,0.0,0.0,0.0,15.42,0.28,0.0
20231023:0030,0.0,0.0,0.0,0.0,14.88,0.14,0.0
20231023:0130,0.0,0.0,0.0,0.0,14.04,0.34,0.0
20231023:0230,0.0,0.0,0.0,0.0,13.69,0.55,0.0
20231023:0330,0.0,0.0,0.0,0.0,13.32,0.69,0.0
20231023:0430,0.0,0.0,0.0,0.0,13.09,0.62,0.0
20231023:0530,0.0,0.0,0.0,0.0,12.94,0.69,0.0
20231023:0630,0.0,0.0,0.0,0.0,12.68,0.83,0.0
20231023:0730,0.0,0.0,0.0,0.0,12.76,0.55,0.0
20231023:0830,0.0,0.0,0.0,0.0,12.82,0.62,0.0
20231023:0930,0.0,0.0,0.0,0.0,12.71,0.62,0.0
20231023:1030,0.0,0.0,0.0,-5.17,12.62,0.55,0.0
20231023:1130,0.0,52.8,0.0,9.44,12.53,0.48,0.0
20231023:1230,87.3,153.55,0.0,23.92,13.81,0.48,0.0
20231023:1330,305.15,189.85,0.0,38.15,15.7,0.21,0.0
20231023:1430,586.0,176.2,0.0,51.87,17.64,0.28,0.0
20231023:1530,701.95,179.55,0.0,64.2,20.13,0.34,0.0
20231023:1630,797.35,169.7,0.0,72.05,21.43,0.41,0.0
20231023:1730,545.95,267.6,0.0,69.39,22.66,0.41,0.0
20231023:1830,569.7,240.9,0.0,58.81,22.7,0.34,0.0
20231023:1930,215.6,207.2,0.0,45.66,22.25,0.21,0.0
20231023:2030,142.35,194.4,0.0,31.66,20.14,0.48,0.0
20231023:2130,15.95,95.55,0.0,17.29,18.94,0.9,0.0
20231023:2230,0.0,14.8,0.0,2.74,17.2,0.55,0.0
20231023:2330,0.0,0.0,0.0,0.0,15.92,0.28,0.0
20231024:0030,0.0,0.0,0.0,0.0,15.53,0.28,0.0
20231024:0130,0.0,0.0,0.0,0.0,14.8,0.34,0.0
20231024:0230,0.0,0.0,0.0,0.0,14.3,0.48,0.0
20231024:0330,0.0,0.0,0.0,0.0,13.56,0.62,0.0
20231024:0430,0.0,0.0,0.0,0.0,13.09,0.76,0.0
20231024:0530,0.0,0.0,0.0,0.0,13.33,0.62,0.0
20231024:0630,0.0,0.0,0.0,0.0,13.58,0.55,0.0
20231024:0730,0.0,0.0,0.0,0.0,14.15,0.41,0.0
20231024:0830,0.0,0.0,0.0,0.0,14.29,0.28,0.0
20231024:0930,0.0,0.0,0.0,0.0,14.48,0.07,0.0
20231024:1030,0.0,0.0,0.0,-5.17,14.42,0.0,0.0
20231024:1130,0.0,27.6,0.0,9.41,13.6,0.34,0.0
20231024:1230,22.95,94.05,0.0,23.87,14.27,0.28,0.0
20231024:1330,7.75,165.5,0.0,38.07,17.1,0.21,0.0
20231024:1430,19.0,283.95,0.0,51.74,15.96,0.21,0.0
20231024:1530,54.15,272.4,0.0,63.99,17.56,0.0,0.0
20231024:1630,23.85,257.45,0.0,71.71,17.71,0.21,0.0
20231024:1730,19.45,339.35,0.0,69.08,19.64,0.34,0.0
20231024:1830,56.4,267.8,0.0,58.6,18.02,0.07,0.0
20231024:1930,141.35,258.1,0.0,45.51,17.55,0.48,0.0
20231024:2030,53.8,209.55,0.0,31.54,17.89,0.55,0.0
20231024:2130,13.35,99.75,0.0,17.2,17.19,0.55,0.0
20231024:2230,0.0,13.75,0.0,2.68,16.39,0.48,0.0
20231024:2330,0.0,0.0,0.0,0.0,15.06,0.48,0.0
20231025:0030,0.0,0.0,0.0,0.0,14.53,0.55,0.0
20231025:0130,0.0,0.0,0.0,0.0,14.34,0.21,0.0
20231025:0230,0.0,0.0,0.0,0.0,14.2,0.07,0.0
20231025:0330,0.0,0.0,0.0,0.0,13.84,0.14,0.0
20231025:0430,0.0,0.0,0.0,0.0,13.8,0.14,0.0
20231025:0530,0.0,0.0,0.0,0.0,13.71,0.14,0.0
20231025:0630,0.0,0.0,0.0,0.0,13.65,0.0,0.0
20231025:0730,0.0,0.0,0.0,0.0,12.5,0.14,0.0
20231025:0830,0.0,0.0,0.0,0.0,12.39,0.28,0.0
20231025:0930,0.0,0.0,0.0,0.0,12.61,0.14,0.0
20231025:1030,0.0,0.0,0.0,-5.18,13.2,0.0,0.0
20231025:1130,0.0,34.65,0.0,9.39,13.42,0.07,0.0
20231025:1230,10.85,108.6,0.0,23.82,14.0,0.0,0.0
20231025:1330,128.4,167.15,0.0,37.99,14.82,0.28,0.0
20231025:1430,209.1,216.1,0.0,51.6,16.14,0.28,0.0
20231025:1530,159.5,319.15,0.0,63.77,17.6,0.28,0.0
20231025:1630,247.75,335.05,0.0,71.38,18.47,0.48,0.0
20231025:1730,86.8,379.65,0.0,68.78,19.77,0.69,0.0
20231025:1830,39.9,302.25,0.0,58.39,18.21,0.76,0.0
20231025:1930,12.05,228.65,0.0,45.36,17.67,0.83,0.0
20231025:2030,3.15,98.05,0.0,31.43,16.79,0.97,0.0
20231025:2130,7.15,80.0,0.0,17.12,15.74,1.1,0.0
20231025:2230,0.0,12.3,0.0,2.61,15.3,0.9,0.0
20231025:2330,0.0,0.0,0.0,0.0,14.65,0.76,0.0
20231026:0030,0.0,0.0,0.0,0.0,14.44,0.9,0.0
20231026:0130,0.0,0.0,0.0,0.0,14.13,0.62,0.0
20231026:0230,0.0,0.0,0.0,0.0,13.95,0.41,0.0
20231026:0330,0.0,0.0,0.0,0.0,14.07,0.48,0.0
20231026:0430,0.0,0.0,0.0,0.0,13.78,0.48,0.0
20231026:0530,0.0,0.0,0.0,0.0,13.49,0.34,0.0
20231026:0630,0.0,0.0,0.0,0.0,12.98,0.28,0.0
20231026:0730,0.0,0.0,0.0,0.0,13.37,0.28,0.0
20231026:0830,0.0,0.0,0.0,0.0,13.76,0.48,0.0
20231026:0930,0.0,0.0,0.0,0.0,13.28,0.34,0.0
20231026:1030,0.0,0.0,0.0,-5.19,13.33,0.28,0.0
20231026:1130,0.0,41.35,0.0,9.35,13.38,0.0,0.0
20231026:1230,124.45,109.75,0.0,23.76,14.94,0.28,0.0
20231026:1330,180.5,182.2,0.0,37.9,14.87,0.48,0.0
20231026:1430,434.65,154.35,0.0,51.46,16.95,0.48,0.0
20231026:1530,290.3,307.85,0.0,63.55,18.21,0.48,0.0
20231026:1630,330.15,307.35,0.0,71.04,18.93,0.76,0.0
20231026:1730,236.5,297.6,0.0,68.47,19.45,1.03,0.0
20231026:1830,271.85,248.25,0.0,58.18,19.37,1.03,0.0
20231026:1930,146.2,231.4,0.0,45.22,18.34,0.97,0.0
20231026:2030,70.25,164.15,0.0,31.32,17.98,0.76,0.0
20231026:2130,19.1,75.7,0.0,17.03,16.68,0.97,0.0
20231026:2230,0.0,9.15,0.0,2.55,16.14,0.34,0.0
20231026:2330,0.0,0.0,0.0,0.0,15.64,0.83,0.0
20231027:0030,0.0,0.0,0.0,0.0,14.65,1.03,0.0
20231027:0130,0.0,0.0,0.0,0.0,14.38,1.03,0.0
20231027:0230,0.0,0.0,0.0,0.0,14.18,1.03,0.0
20231027:0330,0.0,0.0,0.0,0.0,14.03,0.69,0.0
20231027:0430,0.0,0.0,0.0,0.0,13.94,0.48,0.0
20231027:0530,0.0,0.0,0.0,0.0,13.94,0.9,0.0
20231027:0630,0.0,0.0,0.0,0.0,13.83,1.1,0.0
20231027:0730,0.0,0.0,0.0,0.0,13.66,1.24,0.0
20231027:0830,0.0,0.0,0.0,0.0,13.54,0.9,0.0
20231027:0930,0.0,0.0,0.0,0.0,13.49,1.1,0.0
20231027:1030,0.0,0.0,0.0,-5.21,13.42,1.1,0.0
20231027:1130,0.0,35.65,0.0,9.32,13.33,1.31,0.0
20231027:1230,75.9,117.9,0.0,23.7,13.71,1.52,0.0
20231027:1330,240.7,171.75,0.0,37.81,14.73,1.17,0.0
20231027:1430,235.7,193.95,0.0,51.32,16.73,1.1,0.0
20231027:1530,265.15,304.7,0.0,63.32,17.24,1.38,0.0
20231027:1630,310.1,303.65,0.0,70.71,18.39,1.38,0.0
20231027:1730,63.9,320.55,0.0,68.17,19.02,1.52,0.0
20231027:1830,187.6,267.25,0.0,57.98,17.0,1.52,0.0
20231027:1930,4.4,142.9,0.0,45.07,17.73,1.79,0.0
20231027:2030,0.0,102.65,0.0,31.22,15.44,1.17,0.0
20231027:2130,0.4,31.2,0.0,16.96,14.95,1.03,0.0
20231027:2230,0.0,11.8,0.0,2.49,14.41,1.17,0.0
20231027:2330,0.0,0.0,0.0,0.0,13.93,0.97,0.0
20231028:0030,0.0,0.0,0.0,0.0,13.7,1.03,0.0
20231028:0130,0.0,0.0,0.0,0.0,13.47,0.97,0.0
20231028:0230,0.0,0.0,0.0,0.0,13.21,0.83,0.0
20231028:0330,0.0,0.0,0.0,0.0,13.17,0.76,0.0
20231028:0430,0.0,0.0,0.0,0.0,13.07,0.76,0.0
20231028:0530,0.0,0.0,0.0,0.0,12.92,0.62,0.0
20231028:0630,0.0,0.0,0.0,0.0,12.67,0.62,0.0
20231028:0730,0.0,0.0,0.0,0.0,12.66,0.83,0.0
20231028:0830,0.0,0.0,0.0,0.0,12.73,1.1,0.0
20231028:0930,0.0,0.0,0.0,0.0,12.76,1.03,0.0
20231028:1030,0.0,0.0,0.0,-5.23,12.66,0.97,0.0
20231028:1130,0.0,25.0,0.0,9.28,12.67,1.1,0.0
20231028:1230,94.25,109.1,0.0,23.64,13.07,1.38,0.0
20231028:1330,226.95,150.55,0.0,37.71,13.69,1.86,0.0
20231028:1430,388.6,202.65,0.0,51.18,15.01,1.86,0.0
20231028:1530,515.75,222.45,0.0,63.1,16.44,2.28,0.0
20231028:1630,511.7,239.3,0.0,70.39,17.96,2.41,0.0
20231028:1730,386.7,250.9,0.0,67.87,18.62,2.34,0.0
20231028:1830,86.6,306.45,0.0,57.77,18.74,2.28,0.0
20231028:1930,120.4,256.85,0.0,44.93,17.04,1.59,0.0
20231028:2030,37.45,153.5,0.0,31.11,16.65,1.72,0.0
20231028:2130,27.1,98.7,0.0,16.88,16.08,1.86,0.0
20231028:2230,0.0,16.85,0.0,2.44,15.59,1.52,0.0
20231028:2330,0.0,0.0,0.0,0.0,14.83,1.17,0.0
20231029:0030,0.0,0.0,0.0,0.0,14.43,0.9,0.0
20231029:0130,0.0,0.0,0.0,0.0,14.0,0.76,0.0
20231029:0230,0.0,0.0,0.0,0.0,13.67,0.62,0.0
20231029:0330,0.0,0.0,0.0,0.0,13.28,0.62,0.0
20231029:0430,0.0,0.0,0.0,0.0,13.05,0.55,0.0
20231029:0530,0.0,0.0,0.0,0.0,12.46,0.41,0.0
20231029:0630,0.0,0.0,0.0,0.0,12.66,0.41,0.0
20231029:0730,0.0,0.0,0.0,0.0,12.07,0.21,0.0
20231029:0830,0.0,0.0,0.0,0.0,11.95,0.34,0.0
20231029:0930,0.0,0.0,0.0,0.0,11.88,0.41,0.0
20231029:1030,0.0,0.0,0.0,-5.25,11.7,0.55,0.0
20231029:1130,0.0,35.8,0.0,9.24,11.94,0.41,0.0
20231029:1230,209.3,102.45,0.0,23.57,12.75,0.41,0.0
20231029:1330,392.65,136.05,0.0,37.62,14.49,0.76,0.0
20231029:1430,450.55,213.2,0.0,51.03,16.42,0.97,0.0
20231029:1530,349.1,335.15,0.0,62.87,18.17,1.17,0.0
20231029:1630,538.2,291.3,0.0,70.06,19.35,1.38,0.0
20231029:1730,520.85,236.5,0.0,67.58,20.39,1.45,0.0
20231029:1830,185.15,271.2,0.0,57.57,20.59,1.38,0.0
20231029:1930,212.15,184.65,0.0,44.79,19.2,1.17,0.0
20231029:2030,241.95,165.3,0.0,31.02,19.12,0.9,0.0
20231029:2130,43.25,91.45,0.0,16.81,19.24,0.9,0.0
20231029:2230,0.0,14.4,0.0,2.39,18.09,0.41,0.0
20231029:2330,0.0,0.0,0.0,0.0,17.08,0.28,0.0
20231030:0030,0.0,0.0,0.0,0.0,16.16,0.41,0.0
20231030:0130,0.0,0.0,0.0,0.0,15.37,0.48,0.0
20231030:0230,0.0,0.0,0.0,0.0,15.62,0.28,0.0
20231030:0330,0.0,0.0,0.0,0.0,14.49,0.48,0.0
