Latitude (decimal degrees):	6.160
Longitude (decimal degrees):	-75.580
Elevation (m):	1618
Radiation database:	PVGIS-ERA5


Slope: 90 deg. 
Azimuth: -179 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230114:0730,0.0,0.0,0.0,0.0,11.4,0.62,0.0
20230114:0830,0.0,0.0,0.0,0.0,11.13,0.76,0.0
20230114:0930,0.0,0.0,0.0,0.0,10.89,0.9,0.0
20230114:1030,0.0,0.0,0.0,0.0,10.98,0.83,0.0
20230114:1130,0.0,4.97,1.39,2.15,11.03,0.83,0.0
20230114:1230,0.0,29.8,8.37,15.89,11.97,0.76,0.0
20230114:1330,0.0,56.43,15.85,29.26,13.37,0.83,0.0
20230114:1430,0.0,64.17,18.02,41.89,14.89,0.76,0.0
20230114:1530,0.0,57.16,16.06,53.0,16.54,0.76,0.0
20230114:1630,0.0,56.64,15.91,60.74,17.73,0.55,0.0
20230114:1730,0.0,81.29,22.84,62.14,18.77,0.55,0.0
20230114:1830,0.0,95.28,26.76,56.39,19.3,0.62,0.0
20230114:1930,0.0,97.85,27.49,46.23,18.09,0.48,0.0
20230114:2030,0.0,67.71,19.02,34.03,18.29,0.28,0.0
20230114:2130,0.0,23.28,6.54,20.87,17.15,0.62,0.0
20230114:2230,0.0,8.28,2.32,7.24,15.53,0.9,0.0
20230114:2330,0.0,0.0,0.0,0.0,14.42,0.62,0.0
20230115:0030,0.0,0.0,0.0,0.0,13.82,0.21,0.0
20230115:0130,0.0,0.0,0.0,0.0,13.61,0.14,0.0
20230115:0230,0.0,0.0,0.0,0.0,13.08,0.41,0.0
20230115:0330,0.0,0.0,0.0,0.0,12.7,0.55,0.0
20230115:0430,0.0,0.0,0.0,0.0,12.6,0.76,0.0
20230115:0530,0.0,0.0,0.0,0.0,12.56,0.76,0.0
20230115:0630,0.0,0.0,0.0,0.0,12.65,0.76,0.0
20230115:0730,0.0,0.0,0.0,0.0,12.26,0.41,0.0
20230115:0830,0.0,0.0,0.0,0.0,12.1,0.48,0.0
20230115:0930,0.0,0.0,0.0,0.0,11.59,0.55,0.0
20230115:1030,0.0,0.0,0.0,0.0,11.61,0.55,0.0
20230115:1130,0.0,4.98,1.4,2.09,10.73,0.76,0.0
20230115:1230,0.0,31.67,8.89,15.85,11.18,0.62,0.0
20230115:1330,0.0,54.72,15.37,29.24,13.54,0.83,0.0
20230115:1430,0.0,58.58,16.46,41.91,15.19,1.1,0.0
20230115:1530,0.0,48.35,13.58,53.07,17.5,1.24,0.0
20230115:1630,0.0,57.74,16.22,60.88,18.14,1.1,0.0
20230115:1730,0.0,43.29,12.16,62.33,19.45,1.1,0.0
20230115:1830,0.0,56.43,15.85,56.58,19.95,1.17,0.0
20230115:1930,0.0,53.54,15.04,46.4,19.72,1.03,0.0
20230115:2030,0.0,56.93,15.99,34.18,18.28,0.83,0.0
20230115:2130,0.0,30.65,8.61,21.0,17.28,0.62,0.0
20230115:2230,0.0,11.68,3.28,7.35,16.39,0.34,0.0
20230115:2330,0.0,0.0,0.0,0.0,15.64,0.48,0.0
20230116:0030,0.0,0.0,0.0,0.0,14.93,0.41,0.0
20230116:0130,0.0,0.0,0.0,0.0,14.12,0.41,0.0
20230116:0230,0.0,0.0,0.0,0.0,13.39,0.55,0.0
20230116:0330,0.0,0.0,0.0,0.0,13.36,0.55,0.0
20230116:0430,0.0,0.0,0.0,0.0,13.33,0.48,0.0
20230116:0530,0.0,0.0,0.0,0.0,13.55,0.41,0.0
20230116:0630,0.0,0.0,0.0,0.0,13.35,0.21,0.0
20230116:0730,0.0,0.0,0.0,0.0,12.74,1.03,0.0
20230116:0830,0.0,0.0,0.0,0.0,12.23,0.76,0.0
20230116:0930,0.0,0.0,0.0,0.0,11.74,0.83,0.0
20230116:1030,0.0,0.0,0.0,0.0,11.8,0.62,0.0
20230116:1130,0.0,6.14,1.72,2.03,11.2,0.69,0.0
20230116:1230,0.0,32.91,9.24,15.81,11.38,0.48,0.0
20230116:1330,0.0,51.91,14.58,29.23,13.51,0.48,0.0
20230116:1430,0.0,48.27,13.56,41.94,15.29,0.48,0.0
20230116:1530,0.0,69.4,19.49,53.14,16.49,0.41,0.0
20230116:1630,0.0,64.17,18.02,61.02,18.36,0.48,0.0
20230116:1730,0.0,59.22,16.64,62.53,19.27,0.41,0.0
20230116:1830,0.0,58.58,16.46,56.78,19.39,0.34,0.0
20230116:1930,0.0,54.54,15.32,46.58,17.99,0.28,0.0
20230116:2030,0.0,48.15,13.52,34.33,18.22,0.21,0.0
20230116:2130,0.0,36.65,10.29,21.13,17.91,0.41,0.0
20230116:2230,0.0,13.31,3.74,7.46,16.61,0.41,0.0
20230116:2330,0.0,0.0,0.0,-6.44,15.88,0.34,0.0
20230117:0030,0.0,0.0,0.0,0.0,14.83,0.48,0.0
20230117:0130,0.0,0.0,0.0,0.0,14.28,0.48,0.0
20230117:0230,0.0,0.0,0.0,0.0,14.1,0.41,0.0
20230117:0330,0.0,0.0,0.0,0.0,13.12,0.55,0.0
20230117:0430,0.0,0.0,0.0,0.0,12.55,0.55,0.0
20230117:0530,0.0,0.0,0.0,0.0,12.08,0.69,0.0
20230117:0630,0.0,0.0,0.0,0.0,11.8,0.69,0.0
20230117:0730,0.0,0.0,0.0,0.0,11.96,0.69,0.0
20230117:0830,0.0,0.0,0.0,0.0,11.78,0.76,0.0
20230117:0930,0.0,0.0,0.0,0.0,11.74,0.83,0.0
20230117:1030,0.0,0.0,0.0,0.0,11.72,0.76,0.0
20230117:1130,0.0,4.29,1.21,1.98,12.29,0.83,0.0
20230117:1230,0.0,29.03,8.16,15.78,12.25,0.69,0.0
20230117:1330,0.0,53.08,14.91,29.22,13.0,0.83,0.0
20230117:1430,0.0,75.6,21.24,41.96,14.77,0.76,0.0
20230117:1530,0.0,76.65,21.53,53.22,16.35,0.62,0.0
20230117:1630,0.0,83.54,23.46,61.17,17.33,0.48,0.0
20230117:1730,0.0,65.79,18.48,62.73,18.7,0.34,0.0
20230117:1830,0.0,76.13,21.39,56.98,18.94,0.34,0.0
20230117:1930,0.0,69.67,19.57,46.75,17.75,0.55,0.0
20230117:2030,0.0,46.21,12.98,34.48,17.46,0.34,0.0
20230117:2130,0.0,39.48,11.09,21.26,17.25,0.14,0.0
20230117:2230,0.0,13.74,3.86,7.57,15.84,0.55,0.0
20230117:2330,0.0,0.0,0.0,-6.35,16.29,0.41,0.0
20230118:0030,0.0,0.0,0.0,0.0,14.78,0.34,0.0
20230118:0130,0.0,0.0,0.0,0.0,13.9,0.62,0.0
20230118:0230,0.0,0.0,0.0,0.0,13.7,0.83,0.0
20230118:0330,0.0,0.0,0.0,0.0,12.79,0.9,0.0
20230118:0430,0.0,0.0,0.0,0.0,12.73,0.76,0.0
20230118:0530,0.0,0.0,0.0,0.0,12.06,0.83,0.0
20230118:0630,0.0,0.0,0.0,0.0,12.2,0.83,0.0
20230118:0730,0.0,0.0,0.0,0.0,12.49,0.41,0.0
20230118:0830,0.0,0.0,0.0,0.0,12.21,0.69,0.0
20230118:0930,0.0,0.0,0.0,0.0,11.7,0.76,0.0
20230118:1030,0.0,0.0,0.0,0.0,11.22,0.9,0.0
20230118:1130,0.0,4.77,1.34,1.93,11.03,0.97,0.0
20230118:1230,0.0,33.22,9.33,15.75,11.93,1.17,0.0
20230118:1330,0.0,63.92,17.96,29.22,13.22,0.9,0.0
20230118:1430,0.0,82.11,23.06,42.0,14.64,0.9,0.0
20230118:1530,0.0,74.74,20.99,53.31,16.3,0.76,0.0
20230118:1630,0.0,93.81,26.35,61.33,17.24,0.48,0.0
20230118:1730,0.0,101.0,28.37,62.94,18.67,0.34,0.0
20230118:1830,0.0,62.66,17.6,57.19,19.88,0.07,0.0
20230118:1930,0.0,72.04,20.24,46.93,19.17,0.14,0.0
20230118:2030,0.0,41.58,11.68,34.63,18.75,0.07,0.0
20230118:2130,0.0,31.04,8.72,21.39,17.37,0.55,0.0
20230118:2230,0.0,12.18,3.42,7.68,15.98,0.41,0.0
20230118:2330,0.0,0.0,0.0,-6.26,14.79,0.76,0.0
20230119:0030,0.0,0.0,0.0,0.0,14.04,0.69,0.0
20230119:0130,0.0,0.0,0.0,0.0,14.0,0.97,0.0
20230119:0230,0.0,0.0,0.0,0.0,13.63,0.9,0.0
20230119:0330,0.0,0.0,0.0,0.0,13.29,0.76,0.0
20230119:0430,0.0,0.0,0.0,0.0,13.23,0.76,0.0
20230119:0530,0.0,0.0,0.0,0.0,12.73,0.41,0.0
20230119:0630,0.0,0.0,0.0,0.0,12.11,0.41,0.0
20230119:0730,0.0,0.0,0.0,0.0,11.28,0.76,0.0
20230119:0830,0.0,0.0,0.0,0.0,11.11,0.69,0.0
20230119:0930,0.0,0.0,0.0,0.0,10.76,0.76,0.0
20230119:1030,0.0,0.0,0.0,0.0,9.97,0.76,0.0
20230119:1130,0.0,4.7,1.32,1.88,10.1,0.76,0.0
20230119:1230,0.0,27.09,7.61,15.72,11.02,0.62,0.0
20230119:1330,0.0,32.17,9.03,29.22,13.2,0.83,0.0
20230119:1430,0.0,33.84,9.51,42.03,14.99,0.83,0.0
20230119:1530,0.0,65.15,18.3,53.4,16.46,0.69,0.0
20230119:1630,0.0,68.3,19.19,61.49,17.91,0.62,0.0
20230119:1730,0.0,55.45,15.57,63.16,18.8,0.48,0.0
20230119:1830,0.0,77.59,21.79,57.4,19.33,0.34,0.0
20230119:1930,0.0,58.08,16.31,47.11,19.28,0.48,0.0
20230119:2030,0.0,57.37,16.11,34.78,19.18,0.41,0.0
20230119:2130,0.0,37.67,10.58,21.52,17.29,0.55,0.0
20230119:2230,0.0,9.22,2.59,7.79,15.89,0.21,0.0
20230119:2330,0.0,0.0,0.0,-6.17,14.99,0.48,0.0
20230120:0030,0.0,0.0,0.0,0.0,14.23,0.55,0.0
20230120:0130,0.0,0.0,0.0,0.0,13.56,0.41,0.0
20230120:0230,0.0,0.0,0.0,0.0,13.15,0.21,0.0
20230120:0330,0.0,0.0,0.0,0.0,13.03,0.55,0.0
20230120:0430,0.0,0.0,0.0,0.0,13.01,0.48,0.0
20230120:0530,0.0,0.0,0.0,0.0,12.66,0.41,0.0
20230120:0630,0.0,0.0,0.0,0.0,12.37,0.55,0.0
20230120:0730,0.0,0.0,0.0,0.0,11.2,0.41,0.0
20230120:0830,0.0,0.0,0.0,0.0,10.72,0.48,0.0
20230120:0930,0.0,0.0,0.0,0.0,10.27,0.41,0.0
20230120:1030,0.0,0.0,0.0,0.0,10.07,0.48,0.0
20230120:1130,0.0,6.27,1.76,1.84,9.52,0.41,0.0
20230120:1230,0.0,37.67,10.58,15.7,9.71,0.41,0.0
20230120:1330,0.0,68.9,19.36,29.23,12.39,0.48,0.0
20230120:1430,0.0,57.49,16.15,42.07,14.75,0.41,0.0
20230120:1530,0.0,56.0,15.73,53.49,16.58,0.55,0.0
20230120:1630,0.0,53.9,15.14,61.66,18.25,0.62,0.0
20230120:1730,0.0,69.83,19.61,63.38,19.18,0.48,0.0
20230120:1830,0.0,64.88,18.22,57.61,19.53,0.62,0.0
20230120:1930,0.0,45.27,12.72,47.29,19.68,0.55,0.0
20230120:2030,0.0,33.7,9.47,34.93,19.05,0.48,0.0
20230120:2130,0.0,29.96,8.42,21.64,18.3,0.48,0.0
20230120:2230,0.0,12.94,3.63,7.9,17.33,0.62,0.0
20230120:2330,0.0,0.0,0.0,-6.08,16.3,0.48,0.0
20230121:0030,0.0,0.0,0.0,0.0,15.05,0.41,0.0
20230121:0130,0.0,0.0,0.0,0.0,14.03,0.48,0.0
20230121:0230,0.0,0.0,0.0,0.0,14.07,0.41,0.0
20230121:0330,0.0,0.0,0.0,0.0,13.71,0.34,0.0
20230121:0430,0.0,0.0,0.0,0.0,13.44,0.28,0.0
20230121:0530,0.0,0.0,0.0,0.0,12.65,0.48,0.0
20230121:0630,0.0,0.0,0.0,0.0,12.46,0.34,0.0
20230121:0730,0.0,0.0,0.0,0.0,11.92,0.69,0.0
20230121:0830,0.0,0.0,0.0,0.0,11.63,0.76,0.0
20230121:0930,0.0,0.0,0.0,0.0,11.52,0.76,0.0
20230121:1030,0.0,0.0,0.0,0.0,11.12,0.83,0.0
20230121:1130,0.0,4.45,1.25,1.79,11.11,1.1,0.0
20230121:1230,0.0,24.69,6.93,15.68,11.28,0.97,0.0
20230121:1330,0.0,53.69,15.08,29.23,13.12,0.62,0.0
20230121:1430,0.0,60.72,17.06,42.12,14.59,0.76,0.0
20230121:1530,0.0,94.41,26.52,53.59,15.7,0.41,0.0
20230121:1630,0.0,124.21,34.89,61.83,16.69,0.48,0.0
20230121:1730,0.0,135.23,37.99,63.61,17.89,0.34,0.0
20230121:1830,0.0,124.28,34.91,57.83,18.49,0.21,0.0
20230121:1930,0.0,111.7,31.37,47.47,18.64,0.34,0.0
20230121:2030,0.0,80.81,22.7,35.08,18.55,0.41,0.0
20230121:2130,0.0,41.19,11.57,21.77,18.02,0.48,0.0
20230121:2230,0.0,15.63,4.39,8.0,16.02,0.28,0.0
20230121:2330,0.0,0.0,0.0,-5.99,15.71,0.34,0.0
20230122:0030,0.0,0.0,0.0,0.0,14.88,0.48,0.0
20230122:0130,0.0,0.0,0.0,0.0,14.62,0.21,0.0
20230122:0230,0.0,0.0,0.0,0.0,14.21,0.28,0.0
20230122:0330,0.0,0.0,0.0,0.0,13.98,0.34,0.0
20230122:0430,0.0,0.0,0.0,0.0,13.61,0.41,0.0
20230122:0530,0.0,0.0,0.0,0.0,13.07,0.48,0.0
20230122:0630,0.0,0.0,0.0,0.0,12.51,0.62,0.0
20230122:0730,0.0,0.0,0.0,0.0,12.26,0.69,0.0
20230122:0830,0.0,0.0,0.0,0.0,12.49,0.55,0.0
20230122:0930,0.0,0.0,0.0,0.0,12.57,0.48,0.0
20230122:1030,0.0,0.0,0.0,0.0,12.54,0.62,0.0
20230122:1130,0.0,3.12,0.87,1.76,12.26,0.62,0.0
20230122:1230,0.0,23.16,6.51,15.67,12.45,0.62,0.0
20230122:1330,0.0,53.04,14.9,29.25,13.03,0.55,0.0
20230122:1430,0.0,83.32,23.41,42.17,14.15,0.34,0.0
20230122:1530,0.0,102.58,28.81,53.7,15.34,0.28,0.0
20230122:1630,0.0,100.87,28.34,62.01,16.86,0.48,0.0
20230122:1730,0.0,101.41,28.49,63.84,17.55,0.62,0.0
20230122:1830,0.0,88.48,24.86,58.05,18.93,0.69,0.0
20230122:1930,0.0,88.7,24.91,47.65,17.49,0.28,0.0
20230122:2030,0.0,67.82,19.05,35.23,16.26,0.41,0.0
20230122:2130,0.0,36.06,10.13,21.89,16.89,0.28,0.0
20230122:2230,0.0,14.54,4.08,8.11,15.63,0.34,0.0
20230122:2330,0.0,0.0,0.0,-5.91,15.01,0.41,0.0
20230123:0030,0.0,0.0,0.0,0.0,14.11,0.14,0.0
20230123:0130,0.0,0.0,0.0,0.0,13.84,0.0,0.0
20230123:0230,0.0,0.0,0.0,0.0,13.31,0.34,0.0
20230123:0330,0.0,0.0,0.0,0.0,13.01,0.76,0.0
20230123:0430,0.0,0.0,0.0,0.0,12.68,0.9,0.0
20230123:0530,0.0,0.0,0.0,0.0,12.18,0.97,0.0
20230123:0630,0.0,0.0,0.0,0.0,11.65,0.9,0.0
20230123:0730,0.0,0.0,0.0,0.0,12.17,0.83,0.0
20230123:0830,0.0,0.0,0.0,0.0,12.28,0.76,0.0
20230123:0930,0.0,0.0,0.0,0.0,12.11,0.97,0.0
20230123:1030,0.0,0.0,0.0,0.0,12.09,1.17,0.0
20230123:1130,0.0,5.57,1.56,1.72,11.46,0.97,0.0
20230123:1230,0.0,32.57,9.15,15.65,11.76,1.03,0.0
20230123:1330,0.0,57.05,16.02,29.26,13.11,1.24,0.0
20230123:1430,0.0,81.74,22.96,42.22,14.82,1.03,0.0
20230123:1530,0.0,75.53,21.21,53.8,17.06,0.83,0.0
20230123:1630,0.0,66.64,18.72,62.2,18.58,1.03,0.0
20230123:1730,0.0,57.83,16.24,64.08,20.04,1.03,0.0
20230123:1830,0.0,54.27,15.24,58.27,20.42,1.31,0.0
20230123:1930,0.0,41.76,11.73,47.84,20.85,1.31,0.0
20230123:2030,0.0,39.43,11.07,35.38,20.31,1.45,0.0
20230123:2130,0.0,29.58,8.31,22.02,19.84,1.45,0.0
20230123:2230,0.0,14.08,3.95,8.21,18.01,1.17,0.0
20230123:2330,0.0,0.0,0.0,-5.83,16.83,1.17,0.0
20230124:0030,0.0,0.0,0.0,0.0,15.64,1.17,0.0
20230124:0130,0.0,0.0,0.0,0.0,14.63,1.1,0.0
20230124:0230,0.0,0.0,0.0,0.0,13.77,1.1,0.0
20230124:0330,0.0,0.0,0.0,0.0,13.43,1.03,0.0
20230124:0430,0.0,0.0,0.0,0.0,13.09,1.03,0.0
20230124:0530,0.0,0.0,0.0,0.0,12.75,0.97,0.0
20230124:0630,0.0,0.0,0.0,0.0,12.44,0.83,0.0
20230124:0730,0.0,0.0,0.0,0.0,11.58,0.97,0.0
20230124:0830,0.0,0.0,0.0,0.0,10.92,1.03,0.0
20230124:0930,0.0,0.0,0.0,0.0,10.38,1.03,0.0
20230124:1030,0.0,0.0,0.0,0.0,10.1,1.03,0.0
20230124:1130,0.0,5.32,1.49,1.69,9.83,1.03,0.0
20230124:1230,0.0,22.46,6.31,15.65,10.16,0.97,0.0
20230124:1330,0.0,45.55,12.79,29.28,14.21,0.62,0.0
20230124:1430,0.0,55.22,15.51,42.28,16.89,0.62,0.0
20230124:1530,0.0,90.12,25.31,53.92,19.04,0.62,0.0
20230124:1630,0.0,78.09,21.94,62.39,20.54,0.76,0.0
20230124:1730,0.0,63.81,17.92,64.33,21.63,0.9,0.0
20230124:1830,0.0,49.08,13.79,58.49,22.23,1.03,0.0
20230124:1930,0.0,52.58,14.77,48.02,20.63,1.1,0.0
20230124:2030,0.0,63.49,17.84,35.53,20.14,1.17,0.0
20230124:2130,0.0,39.53,11.11,22.14,19.62,0.97,0.0
20230124:2230,0.0,16.54,4.65,8.31,17.77,1.03,0.0
20230124:2330,0.0,0.0,0.0,-5.75,16.62,0.9,0.0
20230125:0030,0.0,0.0,0.0,0.0,15.4,1.03,0.0
20230125:0130,0.0,0.0,0.0,0.0,14.65,1.1,0.0
20230125:0230,0.0,0.0,0.0,0.0,13.81,1.17,0.0
20230125:0330,0.0,0.0,0.0,0.0,13.19,1.17,0.0
20230125:0430,0.0,0.0,0.0,0.0,12.59,1.17,0.0
20230125:0530,0.0,0.0,0.0,0.0,11.92,1.1,0.0
20230125:0630,0.0,0.0,0.0,0.0,11.65,0.97,0.0
20230125:0730,0.0,0.0,0.0,0.0,10.96,1.03,0.0
20230125:0830,0.0,0.0,0.0,0.0,10.38,1.1,0.0
20230125:0930,0.0,0.0,0.0,0.0,10.09,1.17,0.0
20230125:1030,0.0,0.0,0.0,0.0,9.86,1.03,0.0
20230125:1130,0.0,5.02,1.41,1.66,9.56,0.9,0.0
20230125:1230,0.0,27.73,7.79,15.64,9.96,0.69,0.0
20230125:1330,0.0,36.49,10.25,29.3,13.64,0.28,0.0
20230125:1430,0.0,45.32,12.73,42.34,16.53,0.14,0.0
20230125:1530,0.0,38.4,10.78,54.04,18.8,0.14,0.0
20230125:1630,0.0,54.88,15.41,62.59,20.07,0.41,0.0
20230125:1730,0.0,45.43,12.76,64.58,20.97,0.48,0.0
20230125:1830,0.0,43.75,12.29,58.72,21.32,0.55,0.0
20230125:1930,0.0,42.56,11.96,48.21,21.22,0.83,0.0
20230125:2030,0.0,45.41,12.76,35.68,20.09,0.76,0.0
20230125:2130,0.0,38.4,10.78,22.26,18.83,0.83,0.0
20230125:2230,0.0,11.75,3.3,8.41,18.0,0.76,0.0
20230125:2330,0.0,0.0,0.0,-5.67,16.86,0.55,0.0
20230126:0030,0.0,0.0,0.0,0.0,15.68,0.83,0.0
20230126:0130,0.0,0.0,0.0,0.0,14.56,0.83,0.0
20230126:0230,0.0,0.0,0.0,0.0,13.64,0.83,0.0
20230126:0330,0.0,0.0,0.0,0.0,12.92,0.83,0.0
20230126:0430,0.0,0.0,0.0,0.0,12.29,0.83,0.0
20230126:0530,0.0,0.0,0.0,0.0,11.93,0.83,0.0
