Latitude (decimal degrees):	6.160
Longitude (decimal degrees):	-75.580
Elevation (m):	1618
Radiation database:	PVGIS-ERA5


Slope: 90 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230310:1330,50.84,98.8,39.92,33.31,13.61,0.69,0.0
20230310:1430,50.49,109.32,45.7,47.95,15.39,1.17,0.0
20230310:1530,84.63,151.74,74.3,62.23,16.48,1.03,0.0
20230310:1630,79.16,167.72,76.1,75.08,18.21,1.1,0.0
20230310:1730,106.63,103.94,79.51,78.93,19.24,1.1,0.0
20230310:1830,81.84,145.84,72.57,68.29,19.67,1.1,0.0
20230310:1930,36.36,133.16,44.44,54.38,19.99,0.55,0.0
20230310:2030,21.71,115.92,32.5,39.85,17.65,0.62,0.0
20230310:2130,18.78,48.24,16.06,25.12,17.32,0.28,0.0
20230310:2230,5.15,14.51,3.82,10.3,16.26,0.28,0.0
20230310:2330,0.0,0.0,0.0,-4.57,15.74,0.14,0.0
20230311:0030,0.0,0.0,0.0,0.0,15.13,0.34,0.0
20230311:0130,0.0,0.0,0.0,0.0,14.42,0.28,0.0
20230311:0230,0.0,0.0,0.0,0.0,13.96,0.21,0.0
20230311:0330,0.0,0.0,0.0,0.0,13.93,0.34,0.0
20230311:0430,0.0,0.0,0.0,0.0,13.48,0.34,0.0
20230311:0530,0.0,0.0,0.0,0.0,13.9,0.28,0.0
20230311:0630,0.0,0.0,0.0,0.0,13.49,0.21,0.0
20230311:0730,0.0,0.0,0.0,0.0,13.87,0.41,0.0
20230311:0830,0.0,0.0,0.0,0.0,13.44,0.34,0.0
20230311:0930,0.0,0.0,0.0,0.0,13.7,0.34,0.0
20230311:1030,0.0,0.0,0.0,0.0,13.38,0.62,0.0
20230311:1130,0.0,2.95,0.83,3.79,13.63,0.69,0.0
20230311:1230,1.26,14.19,3.24,18.65,13.67,0.69,0.0
20230311:1330,0.05,29.46,5.93,33.44,14.27,0.55,0.0
20230311:1430,0.12,32.83,6.64,48.11,14.24,0.41,0.0
20230311:1530,0.0,23.48,4.71,62.43,14.07,0.34,0.0
20230311:1630,1.73,36.61,8.32,75.4,14.0,0.41,0.0
20230311:1730,5.49,74.21,17.99,79.27,13.98,0.55,0.0
20230311:1830,6.56,135.18,30.67,68.42,14.44,0.62,0.0
20230311:1930,9.94,117.94,28.74,54.43,15.59,0.9,0.0
20230311:2030,7.6,100.83,23.67,39.87,15.06,0.83,0.0
20230311:2130,11.61,70.22,18.18,25.12,15.24,0.83,0.0
20230311:2230,3.26,19.19,4.46,10.29,15.18,0.55,0.0
20230311:2330,0.0,0.0,0.0,-4.59,14.31,0.21,0.0
20230312:0030,0.0,0.0,0.0,0.0,13.79,0.28,0.0
20230312:0130,0.0,0.0,0.0,0.0,13.49,0.14,0.0
20230312:0230,0.0,0.0,0.0,0.0,13.05,0.21,0.0
20230312:0330,0.0,0.0,0.0,0.0,12.59,0.28,0.0
20230312:0430,0.0,0.0,0.0,0.0,12.28,0.41,0.0
20230312:0530,0.0,0.0,0.0,0.0,11.74,0.55,0.0
20230312:0630,0.0,0.0,0.0,0.0,11.98,0.41,0.0
20230312:0730,0.0,0.0,0.0,0.0,11.69,0.21,0.0
20230312:0830,0.0,0.0,0.0,0.0,11.46,0.14,0.0
20230312:0930,0.0,0.0,0.0,0.0,11.41,0.14,0.0
20230312:1030,0.0,0.0,0.0,0.0,11.25,0.14,0.0
20230312:1130,0.0,7.32,2.05,3.9,11.04,0.28,0.0
20230312:1230,3.47,57.13,12.54,18.76,11.13,0.21,0.0
20230312:1330,12.12,107.94,26.97,33.57,13.77,0.07,0.0
20230312:1430,33.92,147.47,47.02,48.26,14.56,0.14,0.0
20230312:1530,42.06,191.75,61.77,62.63,16.55,0.55,0.0
20230312:1630,63.19,173.8,71.7,75.71,17.34,0.76,0.0
20230312:1730,46.15,201.04,67.05,79.6,18.17,0.83,0.0
20230312:1830,28.27,170.58,50.2,68.53,18.84,0.55,0.0
20230312:1930,18.38,142.98,38.5,54.47,18.44,0.69,0.0
20230312:2030,13.1,106.3,27.59,39.88,17.91,0.48,0.0
20230312:2130,4.95,80.37,17.98,25.11,17.32,0.48,0.0
20230312:2230,3.67,17.6,4.29,10.27,16.7,0.28,0.0
20230312:2330,0.0,0.0,0.0,-4.61,15.7,0.28,0.0
20230313:0030,0.0,0.0,0.0,0.0,14.73,0.41,0.0
20230313:0130,0.0,0.0,0.0,0.0,13.68,0.28,0.0
20230313:0230,0.0,0.0,0.0,0.0,13.83,0.14,0.0
20230313:0330,0.0,0.0,0.0,0.0,13.82,0.07,0.0
20230313:0430,0.0,0.0,0.0,0.0,13.68,0.0,0.0
20230313:0530,0.0,0.0,0.0,0.0,13.32,0.28,0.0
20230313:0630,0.0,0.0,0.0,0.0,13.08,0.41,0.0
20230313:0730,0.0,0.0,0.0,0.0,13.23,0.21,0.0
20230313:0830,0.0,0.0,0.0,0.0,12.94,0.41,0.0
20230313:0930,0.0,0.0,0.0,0.0,12.73,0.62,0.0
20230313:1030,0.0,0.0,0.0,0.0,12.39,0.41,0.0
20230313:1130,0.0,5.95,1.67,4.01,12.06,0.21,0.0
20230313:1230,3.73,42.18,9.77,18.88,12.3,0.14,0.0
20230313:1330,5.28,62.17,15.02,33.7,15.87,0.21,0.0
20230313:1430,11.95,103.47,27.31,48.41,14.31,0.48,0.0
20230313:1530,22.0,145.94,42.14,62.83,15.6,0.55,0.0
20230313:1630,34.16,175.25,55.79,76.02,15.96,0.48,0.0
20230313:1730,17.65,170.7,44.92,79.93,18.95,0.55,0.0
20230313:1830,32.74,150.72,49.77,68.64,17.58,0.34,0.0
20230313:1930,36.84,153.66,51.67,54.51,17.03,0.41,0.0
20230313:2030,34.75,97.59,37.47,39.89,17.84,0.28,0.0
20230313:2130,25.16,68.18,24.09,25.1,16.74,0.14,0.0
20230313:2230,8.2,21.97,6.27,10.25,15.7,0.28,0.0
20230313:2330,0.0,0.0,0.0,-4.64,14.54,0.41,0.0
20230314:0030,0.0,0.0,0.0,0.0,13.75,0.55,0.0
20230314:0130,0.0,0.0,0.0,0.0,13.45,0.62,0.0
20230314:0230,0.0,0.0,0.0,0.0,13.0,0.69,0.0
20230314:0330,0.0,0.0,0.0,0.0,12.64,0.76,0.0
20230314:0430,0.0,0.0,0.0,0.0,12.41,0.55,0.0
20230314:0530,0.0,0.0,0.0,0.0,11.95,0.41,0.0
20230314:0630,0.0,0.0,0.0,0.0,11.41,0.41,0.0
20230314:0730,0.0,0.0,0.0,0.0,12.49,0.28,0.0
20230314:0830,0.0,0.0,0.0,0.0,11.68,0.21,0.0
20230314:0930,0.0,0.0,0.0,0.0,11.51,0.21,0.0
20230314:1030,0.0,0.0,0.0,0.0,11.48,0.28,0.0
20230314:1130,0.0,7.33,2.06,4.13,11.29,0.28,0.0
20230314:1230,12.14,53.03,15.28,19.0,11.7,0.28,0.0
20230314:1330,22.96,102.89,32.35,33.84,13.52,0.34,0.0
20230314:1430,32.59,119.76,43.01,48.57,15.33,0.28,0.0
20230314:1530,40.41,144.48,54.07,63.03,16.55,0.34,0.0
20230314:1630,38.87,174.09,59.65,76.33,16.91,0.55,0.0
20230314:1730,42.66,120.36,51.64,80.25,20.96,0.76,0.0
20230314:1830,55.1,131.73,61.43,68.75,18.31,0.9,0.0
20230314:1930,38.02,121.17,47.22,54.54,17.07,0.76,0.0
20230314:2030,29.24,76.65,31.5,39.89,17.36,0.0,0.0
20230314:2130,13.77,59.06,18.04,25.09,15.88,0.07,0.0
20230314:2230,6.38,21.14,5.87,10.23,15.1,0.14,0.0
20230314:2330,0.0,0.0,0.0,-4.67,14.48,0.21,0.0
20230315:0030,0.0,0.0,0.0,0.0,13.78,0.07,0.0
20230315:0130,0.0,0.0,0.0,0.0,13.25,0.41,0.0
20230315:0230,0.0,0.0,0.0,0.0,13.01,0.21,0.0
20230315:0330,0.0,0.0,0.0,0.0,13.32,0.14,0.0
20230315:0430,0.0,0.0,0.0,0.0,13.24,0.0,0.0
20230315:0530,0.0,0.0,0.0,0.0,12.64,0.28,0.0
20230315:0630,0.0,0.0,0.0,0.0,12.25,0.28,0.0
20230315:0730,0.0,0.0,0.0,0.0,11.91,0.28,0.0
20230315:0830,0.0,0.0,0.0,0.0,11.95,0.21,0.0
20230315:0930,0.0,0.0,0.0,0.0,11.63,0.21,0.0
20230315:1030,0.0,0.0,0.0,0.0,11.14,0.34,0.0
20230315:1130,0.0,5.7,1.6,4.24,10.99,0.28,0.0
20230315:1230,15.09,45.49,15.6,19.12,11.87,0.34,0.0
20230315:1330,60.68,61.6,47.08,33.97,13.86,0.55,0.0
20230315:1430,60.8,104.46,59.41,48.72,16.1,0.34,0.0
20230315:1530,65.11,126.9,68.83,63.22,16.86,0.41,0.0
